Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0.10691060611702005,Club Penguin: Elite Penguin Force,DS,2008.0,1.0,Disney Interactive Studios,0.9942686368882865,63.0,0.0,27,3.16
1.0,Secret Files: Tunguska,PC,2006.0,1.0,DreamCatcher Interactive,0.0,4.0,0.0,1,0.05
0.9998479254487967,ECW Anarchy Rulz,PS,1999.0,2.0,Acclaim Entertainment,0.017439208002013897,4.0,0.0,1,0.11
1.0,Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,2003.0,3.0,Namco Bandai Games,0.0,0.0,0.2,0,0.2
0.9998530936030661,Breakout,PS,1999.0,5.0,Hasbro Interactive,0.017140338747481134,4.0,0.0,1,0.11
1.0,Famicom Mini: Balloon Fight,GBA,2004.0,0.0,Nintendo,0.0,0.0,0.06,0,0.06
0.9859992296884026,Let's Draw!,DS,2008.0,3.0,Ubisoft,0.16674986972671516,23.0,0.0,6,0.54
0.9431329656164535,Dora the Explorer: Super Spies,GBA,2004.0,4.0,Gotham Games,0.3324157173894058,16.0,0.0,1,0.61
0.9995574085167951,Earthworm Jim 3D,N64,1999.0,4.0,Interplay,0.02974873239633319,2.0,0.0,0,0.12
1.0,PDC World Championship Darts: Pro Tour,Wii,2010.0,10.0,O-Games,0.0,10.0,0.0,1,0.11
0.9920437152011559,Cabela's Dangerous Hunts 2011,PS3,2010.0,10.0,Activision,0.12589387248745632,4.0,0.0,3,0.33
0.9990334032722366,Jeremy McGrath Supercross World,PS2,2001.0,6.0,Acclaim Entertainment,0.043957469743978406,9.0,0.0,3,0.23
0.998148804905185,Ringling Bros. and Barnum & Bailey Circus,Wii,2009.0,0.0,Take-Two Interactive,0.06081910280784281,0.0,0.0,1,0.18
0.9978046505115341,Burstrick: Wake Boarding!!,PS,2000.0,10.0,Natsume,0.06622597237908412,10.0,0.0,2,0.27
0.9999443102475675,Knights Contract,PS3,2011.0,0.0,Namco Bandai Games,0.010553501955119445,3.0,0.0,1,0.09
0.9972927764884882,VMX Racing,PS,1997.0,6.0,Playmates,0.07353310794385166,11.0,0.0,2,0.28
0.9986831742065925,Scripps Spelling Bee,DS,2010.0,9.0,THQ,0.05130221785307838,0.0,0.0,1,0.16
0.0,Pokemon Gold/Pokemon Silver,GB,1999.0,7.0,Nintendo,1.0,76.0,7.2,38,23.1
0.5494062633767951,Tom Clancy's Ghost Recon 2,XB,2004.0,8.0,Ubisoft,0.8355553588855424,42.0,0.0,6,1.36
0.9617639305007079,Major League Baseball 2K13,X360,2013.0,10.0,Take-Two Interactive,0.27387979477834723,0.0,0.0,3,0.47
0.9992887623566787,Injustice: Gods Among Us,WiiU,2013.0,2.0,Warner Bros. Interactive Entertainment,0.03770900990025203,8.0,0.0,2,0.2
0.924678098474716,The Amazing Spider-Man (Console Version),X360,2012.0,0.0,Activision,0.38074980525429486,26.0,0.0,6,0.75
0.9713293303929272,Final Fantasy II Anniversary Edition,PSP,2007.0,7.0,Square Enix,0.23773794799826892,3.0,0.07,4,0.51
0.5822769697688849,Sonic Adventure DX: Director's Cut,GC,2003.0,4.0,Sega,0.8129904860924052,30.0,0.06,3,1.27
0.9997026906430498,Championship Foosball,Wii,2008.0,10.0,505 Games,0.024382992454708534,0.0,0.0,1,0.09
1.0,Persona 2: Eternal Punishment,PSP,2012.0,7.0,Atlus,0.0,0.0,0.05,0,0.05
1.0,Ray Gigant,PSV,2015.0,7.0,Namco Bandai Games,0.0,0.0,0.04,0,0.04
0.9993019805449085,My Baby: First Steps,Wii,2009.0,9.0,SouthPeak Games,0.037357083384856396,0.0,0.0,1,0.13
1.0,Gallop Racer,PS,1999.0,10.0,Tecmo Koei,0.0,0.0,0.18,1,0.19
0.9999035633345557,Cubic Ninja,3DS,2011.0,4.0,Ubisoft,0.013887549490757718,4.0,0.0,1,0.1
0.38360632828318925,Mario Party 3,N64,2000.0,3.0,Nintendo,0.9234967162373074,16.0,1.01,2,1.91
1.0,BeatMania Append GottaMix,PS,1999.0,9.0,Konami Digital Entertainment,0.0,0.0,0.31,2,0.33
0.974521385281145,Kinect Sports Rivals,XOne,2014.0,10.0,Microsoft Game Studios,0.22429460454883493,22.0,0.02,4,0.58
1.0,Corpse Party: Book of Shadows,PSP,2011.0,1.0,5pb,0.0,0.0,0.04,0,0.04
